"","problem","instance","representation","mean","median","sd","var","min","max","skewness","kurtosis","mad"
"1","CRA","A","IntArray",63.56110768,64.10385,20.022318350683,400.893232136097,25.5115,106.856499,0.131869309211487,-0.560919099717942,20.72882364
"2","CRA","A","Model",93.326384,90.8335,14.2736958674791,203.73839371729,63.8125,135.6973,0.401000080022627,0.031460267762605,14.60887323
"3","CRA","B","IntArray",153.389276,156.51685,29.9833194665516,898.99944623329,79.0641,229.5018,-0.00876829737352229,-0.0785981780621281,29.57683218
"4","CRA","B","Model",485.504048,470.92145,109.302016462706,11946.9308028136,240.85,720.1408,0.12783462089335,-0.787548075423844,118.15232289
"5","CRA","C","IntArray",879.421102,878.2023,164.982684688751,27219.286247108,582.0021,1210.6409,0.0631802960834653,-0.699060217617701,170.4093027
"6","CRA","C","Model",2929.429508,2761.4046,753.066050721906,567108.476749889,1635.8134,5117.9658,0.838312890434697,0.391928319737372,630.62828367
"7","CRA","D","IntArray",12941.303606,12645.1294,2364.79122470987,5592237.5364648,8390.4513,17976.4131,0.3455614600498,-0.634430585263745,2134.8468897
"8","CRA","D","Model",25295.1920982,24494.66335,5207.90626168238,27122287.6304705,14672.5921,37649.469615,0.431442034932219,-0.12187215826284,5075.4948031557
"9","CRA","E","IntArray",90197.48048224,91826.843396,15175.7167343989,230302378.402716,60443.890593,121553.844486,-0.0129300557125983,-0.948001070413823,17330.3809426104
"10","CRA","E","Model",106187.23791438,109471.20035,24709.9485501133,610581557.349244,65414.2184,160803.4819,0.0618635051649371,-0.84416218948345,24095.9135083065
"11","Knapsack","A","IntArray",1079.041894,1075.504,161.868075811883,26201.2739670414,769.8579,1382.4373,0.204295482534861,-0.959429918808595,172.64699088
"12","Knapsack","A","Model",53600.30081888,54470.8977025,6180.76794036959,38201892.3327005,31559.307,65199.157899,-1.20092433727391,2.62314000904718,4454.8721613795
"13","Knapsack","B","IntArray",3210.247006,3220.4632,397.013241215574,157619.513700495,2391.9192,4149.1512,0.195721940323116,-0.421616123810683,403.03094769
"14","Knapsack","B","Model",215792.00304454,218768.0482,30706.4822911457,942888054.696442,153300.9995,276872.087401,-0.115607339459942,-0.953349582161182,32559.0891927735
"15","Knapsack","C","IntArray",6493.481598,6535.07545,689.936862281177,476012.873934395,4464.8229,7666.7094,-0.453849089369148,-0.182510417350318,825.19277274
"16","Knapsack","C","Model",435273.9850808,440797.5371555,41843.8218239605,1750905424.83535,339216.6865,553692.9714,0.130316077521985,0.455736989679459,36419.0951460356
"17","Knapsack","D","IntArray",4172.77980232,4205.1377405,697.683382162684,486762.101745962,2474.9575,5384.623327,-0.0370402995414475,-0.754146559817805,766.968919487401
"18","Knapsack","D","Model",70701.1284601,69867.7063975,12375.5532230253,153154317.575933,43218.265915,92057.025107,-0.0662354000899705,-0.89047753944929,13228.8664049661
"19","Knapsack","E","IntArray",9577.56229,9378.7016,1360.23319370463,1850234.34125589,6856.5359,13247.4511,0.369435476671043,-0.315862490693409,1301.77943532
"20","Knapsack","E","Model",236912.64729826,236576.4196,20460.8152586429,418644961.048315,186020.5676,288099.389108,-0.0011098075727627,0.180349451841303,20608.4829290865
"21","Knapsack","F","IntArray",18141.91583498,17856.7188045,1689.84738931196,2855584.19916445,15413.137808,23276.047265,0.969147492052087,0.779134076287097,1694.4678647442
"22","Knapsack","F","Model",614118.75528718,617177.219301,39248.0894114841,1540412522.45185,541938.214569,727491.9857,0.298178676560498,-0.30903995529096,46312.6275039561
"23","Knapsack","G","IntArray",6682.920056,6585.62825,1369.21729178101,1874755.99211214,4202.9089,10439.1215,0.293207050713111,-0.572739752869813,1569.36219678
"24","Knapsack","G","Model",77310.45601232,78467.4828485,10151.0338458804,103043488.14021,52309.1261,92200.4695,-0.869321964703562,0.0840919407978711,9604.4180865087
"25","Knapsack","H","IntArray",15956.375312,15796.81365,2050.76182876589,4205624.0783232,10711.4383,20570.9977,-0.162945244019261,-0.0934456471737253,2229.53706759
"26","Knapsack","H","Model",342762.680176,354599.3705,38408.6733873414,1475226191.37547,235620.3372,395426.3264,-1.09385019850908,0.485886317571917,30489.6323797799
"27","Knapsack","I","IntArray",30998.2967,30831.15,2979.54124365348,8877666.02263211,25622.6597,36154.3146,-0.0566989572495045,-1.03900302224621,3410.88023472
"28","Knapsack","I","Model",785973.643244,832321.58885,124146.142634811,15412264731.1028,522825.83,956328.1093,-0.935229537628287,-0.453670889078225,87577.0113527401
