"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",542,134866.4893,4012.9188,121639.6865,444.1681,1706.9725,NA
"2",503,125306.855,3391.1112,114346.1356,356.3017,1426.3057,NA
"3",547,140745.6103,4258.0813,127287.7336,422.2412,1652.3834,NA
"4",461,116969.3683,3832.6173,105932.1578,311.4035,1651.6215,NA
"5",557,141260.1946,3746.7782,128307.7645,570.7405,1983.1323,NA
"6",509,129772.4401,4561.5101,116736.5304,381.2523,1663.5741,NA
"7",548,140449.1398,4235.9486,127173.7646,541.0529,1794.6315,NA
"8",528,133132.5043,4034.0688,120183.1645,403.419,2189.9313,NA
"9",577,148681.9344,4088.4653,134949.6049,530.104,1821.2563,NA
"10",491,123714.7824,3383.8498,111773.8342,344.8735,1591.8858,NA
"11",504,127928.4196,3890.639,114988.3169,367.5078,1799.7747,NA
"12",520,155455.3828,3865.7833,140510.2814,516.725,3190.4766,NA
"13",545,135410.831,4096.6173,122413.0878,504.0904,2128.2221,NA
"14",506,129942.8192,3911.8395,117996.1089,347.8833,1681.9838,NA
"15",522,159898.232,4749.5387,143564.4228,561.6991,2572.2767,NA
"16",518,132680.3703,3556.2595,121110.9423,380.3389,1400.1544,NA
"17",515,132345.4894,3676.902,120559.1752,418.3448,1382.6965,NA
"18",455,140077.049,3485.3611,126200.6987,329.769,2058.2044,NA
"19",481,121700.182,3420.0766,110706.6635,321.8109,1456.8762,NA
"20",474,120392.7861,3974.1101,108011.74,411.4581,1912.8961,NA
"21",509,155853.311,3691.5224,141276.5958,581.5136,2481.4417,NA
"22",478,123462.0246,3473.6119,111468.404,433.3894,1809.3103,NA
"23",534,155475.1535,3997.0216,141528.6091,554.9467,1668.6435,NA
"24",563,173455.5753,4311.8025,155902.9839,748.1131,2170.767,NA
"25",470,118807.3642,3272.7422,107848.3972,354.1107,1728.8796,NA
"26",534,135124.8926,3729.6549,121879.3411,613.0558,1693.9934,NA
"27",475,139184.5904,3902.3573,125849.2167,516.3178,1658.727,NA
"28",486,123005.2472,3788.5415,111606.224,502.4655,1382.4706,NA
"29",557,140176.6446,4282.3198,126969.5959,450.3069,1455.8054,NA
"30",534,161642.5544,4255.0607,145985.641,538.3705,2147.2435,NA
"31",525,135227.7342,3823.6829,122957.3156,492.4987,1621.5788,NA
"32",529,138264.5517,3913.5964,125979.2098,592.8619,1452.0941,NA
"33",548,140507.0776,3794.6931,127616.7261,415.2941,1783.6209,NA
"34",491,124605.3624,3695.5033,112183.2569,447.4875,1777.649,NA
"35",500,125925.0604,3882.1772,113970.6613,432.4371,1756.7317,NA
"36",526,134774.6037,4009.4979,122135.701,506.6579,1508.9958,NA
"37",508,155451.4034,3659.4555,139941.7147,575.7135,2316.887,NA
"38",528,134867.9364,3573.0283,121997.9727,531.4534,1879.5191,NA
"39",547,141018.3485,4073.6404,127812.7107,603.5992,1629.2141,NA
"40",495,124777.4486,3639.1178,113788.9403,379.1361,1616.6585,NA
"41",523,132458.8582,3545.6916,120855.6137,480.4182,1483.9971,NA
"42",551,141492.6848,4540.6375,127166.0635,677.0491,1752.6231,NA
"43",521,128806.8927,3949.3228,116115.6403,364.6113,1748.0189,NA
"44",474,121353.324,3653.7386,109890.9725,394.9701,1602.2119,NA
"45",519,154998.2106,4540.3153,139998.1154,571.4637,2503.0225,NA
"46",459,115269.5549,2962.2558,104182.2473,463.5347,1612.7774,NA
"47",588,152968.5701,4240.4617,138653.7733,618.5929,2060.2082,NA
"48",560,139455.421,4167.0648,126236.3531,413.6091,1706.2018,NA
"49",524,133223.6267,4319.2199,120766.6286,520.8885,1502.1387,NA
"50",538,134503.002,3600.1673,122158.1632,559.0058,1632.0203,NA
